iter	Passed	Remaining
0	0	124
1	1	114
2	2	109
3	2	103
4	3	110
5	4	110
6	5	106
7	6	106
8	6	105
9	7	104
10	8	103
11	8	101
12	9	99
13	10	98
14	10	97
15	11	96
16	12	95
17	12	94
18	13	93
19	14	92
20	14	91
21	15	91
22	16	90
23	17	90
24	17	89
25	18	87
26	19	87
27	19	86
28	20	85
29	21	84
30	21	83
31	22	83
32	23	82
33	24	82
34	24	80
35	25	80
36	26	79
37	26	78
38	27	78
39	28	77
40	28	76
41	29	75
42	30	75
43	31	74
44	31	74
45	32	73
46	33	72
47	33	71
48	34	71
49	35	70
50	35	69
51	36	68
52	37	68
53	37	67
54	38	66
55	39	65
56	39	65
57	40	64
58	41	63
59	41	62
60	42	62
61	43	61
62	43	60
63	44	60
64	45	59
65	46	58
66	46	57
67	47	57
68	48	56
69	48	55
70	49	55
71	50	54
72	51	53
73	51	53
74	52	52
75	53	51
76	53	51
77	54	50
78	55	49
79	55	48
80	56	48
81	57	47
82	57	46
83	58	46
84	59	45
85	60	44
86	61	44
87	62	43
88	62	43
89	63	42
90	64	41
91	65	41
92	65	40
93	66	39
94	67	38
95	67	38
96	68	37
97	69	36
98	70	36
99	70	35
100	71	34
101	72	34
102	73	33
103	73	32
104	74	31
105	75	31
106	75	30
107	76	29
108	77	29
109	78	28
110	78	27
111	79	27
112	80	26
113	81	25
114	81	24
115	82	24
116	83	23
117	84	22
118	85	22
119	85	21
120	86	20
121	87	20
122	88	19
123	89	18
124	89	17
125	90	17
126	91	16
127	92	15
128	92	15
129	93	14
130	94	13
131	95	12
132	95	12
133	96	11
134	97	10
135	97	10
136	98	9
137	99	8
138	99	7
139	100	7
140	101	6
141	101	5
142	102	5
143	103	4
144	103	3
145	104	2
146	105	2
147	106	1
148	107	0
149	107	0
